first_spike_timestep,spike_frequency,spike_rate,active_neuron_fraction,total_spikes
1.0,15.066667,0.0018391927,0.027587890625,226.0
1.0,13.8,0.0016845703,0.0252685546875,207.0
1.0,11.133333,0.0013590495,0.0203857421875,167.0
1.0,15.8,0.001928711,0.0289306640625,237.0
2.0,15.933333,0.001944987,0.0291748046875,239.0
2.0,14.133333,0.0017252604,0.02587890625,212.0
1.0,12.533334,0.001529948,0.02294921875,188.0
1.0,15.666667,0.0019124349,0.0286865234375,235.0
2.0,13.733334,0.0016764323,0.025146484375,206.0
1.0,14.333333,0.0017496744,0.0262451171875,215.0
1.0,11.066667,0.0013509115,0.020263671875,166.0
1.0,15.933333,0.001944987,0.0291748046875,239.0
1.0,14.066667,0.0017171224,0.0257568359375,211.0
1.0,13.933333,0.0017008464,0.0255126953125,209.0
1.0,11.8,0.0014404297,0.0216064453125,177.0
1.0,13.133333,0.0016031901,0.0240478515625,197.0
1.0,13.266666,0.0016194661,0.0242919921875,199.0
2.0,15.4,0.0018798828,0.0281982421875,231.0
1.0,14.066667,0.0017171224,0.0257568359375,211.0
1.0,12.0,0.0014648438,0.02197265625,180.0
2.0,15.0,0.0018310547,0.0274658203125,225.0
2.0,13.4,0.0016357421,0.0245361328125,201.0
1.0,15.0,0.0018310547,0.0274658203125,225.0
1.0,15.333333,0.0018717448,0.028076171875,230.0
1.0,12.333333,0.0015055338,0.0225830078125,185.0
1.0,15.533334,0.0018961589,0.0284423828125,233.0
1.0,15.466666,0.0018880208,0.0283203125,232.0
1.0,13.733334,0.0016764323,0.025146484375,206.0
1.0,14.4,0.0017578125,0.0263671875,216.0
1.0,15.266666,0.0018636067,0.0279541015625,229.0
2.0,14.133333,0.0017252604,0.02587890625,212.0
1.0,13.666667,0.0016682943,0.0250244140625,205.0
2.0,13.066667,0.0015950521,0.02392578125,196.0
1.0,14.4,0.0017578125,0.0263671875,216.0
1.0,15.266666,0.0018636067,0.0279541015625,229.0
3.0,15.2,0.0018554687,0.02783203125,228.0
1.0,15.533334,0.0018961589,0.0284423828125,233.0
1.0,14.6,0.0017822266,0.0267333984375,219.0
2.0,12.4,0.0015136718,0.022705078125,186.0
2.0,15.6,0.0019042969,0.028564453125,234.0
1.0,10.266666,0.0012532552,0.018798828125,154.0
2.0,14.866667,0.0018147787,0.0272216796875,223.0
2.0,13.466666,0.0016438802,0.024658203125,202.0
1.0,11.8,0.0014404297,0.0216064453125,177.0
2.0,14.0,0.0017089844,0.025634765625,210.0
1.0,15.0,0.0018310547,0.0274658203125,225.0
1.0,13.333333,0.0016276041,0.0244140625,200.0
1.0,12.266666,0.0014973958,0.0224609375,184.0
1.0,14.466666,0.0017659505,0.0264892578125,217.0
1.0,15.466666,0.0018880208,0.0283203125,232.0
1.0,14.133333,0.0017252604,0.02587890625,212.0
1.0,15.533334,0.0018961589,0.0284423828125,233.0
1.0,15.666667,0.0019124349,0.0286865234375,235.0
1.0,14.8,0.0018066406,0.027099609375,222.0
1.0,15.933333,0.001944987,0.0291748046875,239.0
2.0,13.0,0.0015869141,0.0238037109375,195.0
1.0,15.0,0.0018310547,0.0274658203125,225.0
1.0,14.133333,0.0017252604,0.02587890625,212.0
1.0,14.866667,0.0018147787,0.0272216796875,223.0
2.0,14.466666,0.0017659505,0.0264892578125,217.0
1.0,15.733334,0.001920573,0.02880859375,236.0
2.0,14.2,0.0017333984,0.0260009765625,213.0
1.0,12.333333,0.0015055338,0.0225830078125,185.0
1.0,13.466666,0.0016438802,0.024658203125,202.0
2.0,12.933333,0.001578776,0.023681640625,194.0
1.0,14.333333,0.0017496744,0.0262451171875,215.0
